product,synonyms
1.   სადემონტაჟო სამუშაოები,['2. აღდგენითი სამუშაოები']
დაზიანებული შპალერის მოხსნა,"['დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'შპალერის აღდგენა', 'შპალერის წებო']"
დაზიანებული იატაკის პლინტუსების დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის აღდგენა', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'იატაკის ლაქი', 'იატაკის პლინტუსების მოწყობა', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'ლამინირებული იატაკის აღდგენა', 'ლამინირებული იატაკის ფილა', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'მოჭიმული იატაკის მოწყობა', 'ნარმის ჭერის დემონტაჟი', 'პარკეტის იატაკის ზედაპირის მოხვეწა/შეღებვა/მონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის იატაკის მოხვეწა/შეღებვა/მონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'კაფელ-მეტლახის/გრანიტის აღდგენა', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედელზე კაფელის ზედაპირის დამუშავება ფუგით  (სააბაზანოში)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული პარკეტის დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პარკეტის იატაკის ზედაპირის მოხვეწა/შეღებვა/მონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
მდფ-ის დაზიანებული ნაწილების დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ახალი მდფ-ის  კარის ბლოკის მონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის ფილა (2,88X1,2)', 'მდფ-ის ფილა (2,88X1,2) დაჭრა/დაწიბოება', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პლინტუსი მდფ-ის', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
მდფ-ის ავეჯის სრული დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ახალი მდფ-ის  კარის ბლოკის მონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული ჟოლობის დემონტაჟი', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მდფ-ის ფილა (2,88X1,2)', 'მდფ-ის ფილა (2,88X1,2) დაჭრა/დაწიბოება', 'მდფ/ლამინირებული ავეჯის ნაწილობრივი აღდგენა', 'მდფ/ლამინირებული ავეჯის სრული ჩანაცვლება', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პლინტუსი მდფ-ის', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'თაბ.მუყ. ნესტგამძლე ფილა 12,5 მმ', 'თაბ.მუყ. ტიხრის აღდგენა', 'თაბ.მუყ. ჭერის/კედლის აღდგენა', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის აღდგენა', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული ფენილის გასუფთავება ფასადზე,"['დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის აღდგენა', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი']"
დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის აღდგენა', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'იატაკის ლაქი', 'იატაკის პლინტუსების მოწყობა', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'ლამინირებული იატაკის აღდგენა', 'ლამინირებული იატაკის ფილა', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'მოჭიმული იატაკის მოწყობა', 'ნარმის ჭერის დემონტაჟი', 'პარკეტის იატაკის ზედაპირის მოხვეწა/შეღებვა/მონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სახურავზე კრამიტის ფილების მოწყობა', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'ფილების სამონტაჟო პლასტიკატის დეტალები', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის იატაკის მოხვეწა/შეღებვა/მონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
